demo_gender,demo_age,demo_under_30,demo_senior_citizen,demo_married,demo_dependents,demo_number_of_dependents,loc_city,loc_zip_code,loc_latitude,loc_longitude,svc_referred_a_friend,svc_number_of_referrals,svc_tenure_in_months,svc_offer,svc_phone_service,svc_avg_monthly_long_distance_charges,svc_multiple_lines,svc_internet_service,svc_internet_type,svc_avg_monthly_gb_download,svc_online_security,svc_online_backup,svc_device_protection_plan,svc_premium_tech_support,svc_streaming_tv,svc_streaming_movies,svc_streaming_music,svc_unlimited_data,svc_contract,svc_paperless_billing,svc_payment_method,svc_monthly_charge,svc_total_charges,svc_total_refunds,svc_total_extra_data_charges,svc_total_long_distance_charges,svc_total_revenue,st_satisfaction_score,st_customer_status,churn_flag,st_cltv,st_churn_category,st_churn_reason,zip_population
Male,78,No,Yes,No,No,0,Los Angeles,90022,34.02381,-118.156582,No,0,1,No offer,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,Churned,1,5433,Competitor,Competitor offered more data,68701
Female,74,No,Yes,Yes,Yes,1,Los Angeles,90063,34.044271,-118.185237,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,Churned,1,5302,Competitor,Competitor made better offer,55668
Male,71,No,Yes,No,Yes,3,Los Angeles,90065,34.108833,-118.229715,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Churned,1,3179,Competitor,Competitor made better offer,47534
Female,78,No,Yes,Yes,Yes,1,Inglewood,90303,33.936291,-118.332639,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,Churned,1,5337,Dissatisfaction,Limited range of services,27778
Female,80,No,Yes,Yes,Yes,1,Whittier,90602,33.972119,-118.020188,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,Churned,1,2793,Price,Extra data charges,26265
Female,72,No,Yes,No,Yes,1,Pico Rivera,90660,33.989524,-118.089299,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,Churned,1,4638,Competitor,Competitor had better devices,63288
Female,76,No,Yes,Yes,Yes,2,Los Alamitos,90720,33.79499,-118.065591,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,Churned,1,3964,Other,Don't know,21343
Male,66,No,Yes,Yes,No,0,Sierra Madre,91024,34.168686,-118.057505,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,Churned,1,5444,Dissatisfaction,Service dissatisfaction,10558
Female,70,No,Yes,No,Yes,2,Pasadena,91106,34.139402,-118.128658,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,Churned,1,5717,Dissatisfaction,Limited range of services,23742
Female,77,No,Yes,No,Yes,2,Pasadena,91107,34.159007,-118.087353,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Churned,1,4419,Price,Lack of affordable download/upload speed,32369
Female,78,No,Yes,No,Yes,1,North Hollywood,91605,34.207295,-118.400022,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,Churned,1,5980,Dissatisfaction,Product dissatisfaction,57146
Male,65,No,Yes,No,No,0,Covina,91722,34.097345,-117.906736,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,Churned,1,4616,Competitor,Competitor had better devices,33817
Male,77,No,Yes,Yes,No,0,El Monte,91732,34.074492,-118.01462,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,Churned,1,5828,Dissatisfaction,Limited range of services,62660
Male,67,No,Yes,No,No,0,La Puente,91746,34.038983,-117.991372,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,Churned,1,2314,Price,Long distance charges,30802
Male,68,No,Yes,No,No,0,Rowland Heights,91748,33.976753,-117.897367,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.1399999999999,1,Churned,1,2494,Competitor,Competitor had better devices,46342
Female,68,No,Yes,No,No,0,Ontario,91764,34.074087,-117.605618,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Churned,1,3810,Competitor,Competitor had better devices,49474
Male,66,No,Yes,No,No,0,Alpine,91901,32.827184,-116.703729,No,0,8,No offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,Churned,1,4345,Dissatisfaction,Poor expertise of online support,16486
Male,69,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,Churned,1,2018,Competitor,Competitor made better offer,34902
Female,74,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,Churned,1,3677,Competitor,Competitor made better offer,34902
Male,76,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,Churned,1,4105,Attitude,Attitude of support person,34902
